PRACTICE_CODE,PRACTICE_NAME,LSOA21CD,NUMBER_OF_PATIENTS
F85002,MEDICUS HEALTH PARTNERS,E01001417,37
F85002,MEDICUS HEALTH PARTNERS,E01001418,35
F85002,MEDICUS HEALTH PARTNERS,E01001419,53
F85002,MEDICUS HEALTH PARTNERS,E01001420,24
F85002,MEDICUS HEALTH PARTNERS,E01001421,37
F85002,MEDICUS HEALTH PARTNERS,E01001422,15
F85002,MEDICUS HEALTH PARTNERS,E01001423,120
F85002,MEDICUS HEALTH PARTNERS,E01001424,179
F85002,MEDICUS HEALTH PARTNERS,E01001425,210
F85002,MEDICUS HEALTH PARTNERS,E01001426,200
F85002,MEDICUS HEALTH PARTNERS,E01001427,68
F85002,MEDICUS HEALTH PARTNERS,E01001428,166
F85002,MEDICUS HEALTH PARTNERS,E01001429,280
F85002,MEDICUS HEALTH PARTNERS,E01001430,186
F85002,MEDICUS HEALTH PARTNERS,E01001431,158
F85002,MEDICUS HEALTH PARTNERS,E01001432,71
F85002,MEDICUS HEALTH PARTNERS,E01001433,1187
F85002,MEDICUS HEALTH PARTNERS,E01001434,1074
F85002,MEDICUS HEALTH PARTNERS,E01001435,1132
F85002,MEDICUS HEALTH PARTNERS,E01001436,1349
F85002,MEDICUS HEALTH PARTNERS,E01001437,1165
F85002,MEDICUS HEALTH PARTNERS,E01001438,970
F85002,MEDICUS HEALTH PARTNERS,E01001439,1479
F85002,MEDICUS HEALTH PARTNERS,E01001440,520
F85002,MEDICUS HEALTH PARTNERS,E01001441,1161
F85002,MEDICUS HEALTH PARTNERS,E01001442,893
F85002,MEDICUS HEALTH PARTNERS,E01001444,1218
F85002,MEDICUS HEALTH PARTNERS,E01001445,1435
F85002,MEDICUS HEALTH PARTNERS,E01001446,1217
F85002,MEDICUS HEALTH PARTNERS,E01001447,926
F85002,MEDICUS HEALTH PARTNERS,E01001448,816
F85002,MEDICUS HEALTH PARTNERS,E01001449,730
F85002,MEDICUS HEALTH PARTNERS,E01001450,516
F85002,MEDICUS HEALTH PARTNERS,E01001451,235
F85002,MEDICUS HEALTH PARTNERS,E01001452,94
F85002,MEDICUS HEALTH PARTNERS,E01001453,89
F85002,MEDICUS HEALTH PARTNERS,E01001454,82
F85002,MEDICUS HEALTH PARTNERS,E01001455,191
F85002,MEDICUS HEALTH PARTNERS,E01001456,31
F85002,MEDICUS HEALTH PARTNERS,E01001457,198
F85002,MEDICUS HEALTH PARTNERS,E01001458,84
F85002,MEDICUS HEALTH PARTNERS,E01001459,325
F85002,MEDICUS HEALTH PARTNERS,E01001460,186
F85002,MEDICUS HEALTH PARTNERS,E01001461,173
F85002,MEDICUS HEALTH PARTNERS,E01001462,136
F85002,MEDICUS HEALTH PARTNERS,E01001463,164
F85002,MEDICUS HEALTH PARTNERS,E01001464,177
F85002,MEDICUS HEALTH PARTNERS,E01001465,105
F85002,MEDICUS HEALTH PARTNERS,E01001466,97
F85002,MEDICUS HEALTH PARTNERS,E01001467,123
F85002,MEDICUS HEALTH PARTNERS,E01001468,353
F85002,MEDICUS HEALTH PARTNERS,E01001469,359
F85002,MEDICUS HEALTH PARTNERS,E01001470,144
F85002,MEDICUS HEALTH PARTNERS,E01001471,300
F85002,MEDICUS HEALTH PARTNERS,E01001472,250
F85002,MEDICUS HEALTH PARTNERS,E01001473,92
F85002,MEDICUS HEALTH PARTNERS,E01001474,221
F85002,MEDICUS HEALTH PARTNERS,E01001475,31
F85002,MEDICUS HEALTH PARTNERS,E01001476,503
F85002,MEDICUS HEALTH PARTNERS,E01001477,679
F85002,MEDICUS HEALTH PARTNERS,E01001478,1023
F85002,MEDICUS HEALTH PARTNERS,E01001479,990
F85002,MEDICUS HEALTH PARTNERS,E01001480,701
F85002,MEDICUS HEALTH PARTNERS,E01001481,577
F85002,MEDICUS HEALTH PARTNERS,E01001482,982
F85002,MEDICUS HEALTH PARTNERS,E01001483,368
F85002,MEDICUS HEALTH PARTNERS,E01001484,580
F85002,MEDICUS HEALTH PARTNERS,E01001485,348
F85002,MEDICUS HEALTH PARTNERS,E01001486,400
F85002,MEDICUS HEALTH PARTNERS,E01001487,912
F85002,MEDICUS HEALTH PARTNERS,E01001488,651
F85002,MEDICUS HEALTH PARTNERS,E01001489,702
F85002,MEDICUS HEALTH PARTNERS,E01001491,564
F85002,MEDICUS HEALTH PARTNERS,E01001492,470
F85002,MEDICUS HEALTH PARTNERS,E01001493,205
F85002,MEDICUS HEALTH PARTNERS,E01001494,610
F85002,MEDICUS HEALTH PARTNERS,E01001495,72
F85002,MEDICUS HEALTH PARTNERS,E01001496,657
F85002,MEDICUS HEALTH PARTNERS,E01001497,558
F85002,MEDICUS HEALTH PARTNERS,E01001498,67
F85002,MEDICUS HEALTH PARTNERS,E01001499,755
F85002,MEDICUS HEALTH PARTNERS,E01001500,165
F85002,MEDICUS HEALTH PARTNERS,E01001501,38
F85002,MEDICUS HEALTH PARTNERS,E01001502,925
F85002,MEDICUS HEALTH PARTNERS,E01001503,715
F85002,MEDICUS HEALTH PARTNERS,E01001504,571
F85002,MEDICUS HEALTH PARTNERS,E01001505,451
F85002,MEDICUS HEALTH PARTNERS,E01001507,682
F85002,MEDICUS HEALTH PARTNERS,E01001508,787
F85002,MEDICUS HEALTH PARTNERS,E01001509,955
F85002,MEDICUS HEALTH PARTNERS,E01001511,1559
F85002,MEDICUS HEALTH PARTNERS,E01001512,1303
F85002,MEDICUS HEALTH PARTNERS,E01001513,1169
F85002,MEDICUS HEALTH PARTNERS,E01001514,1412
F85002,MEDICUS HEALTH PARTNERS,E01001515,1735
F85002,MEDICUS HEALTH PARTNERS,E01001516,1202
F85002,MEDICUS HEALTH PARTNERS,E01001517,1435
F85002,MEDICUS HEALTH PARTNERS,E01001518,1159
F85002,MEDICUS HEALTH PARTNERS,E01001520,48
F85002,MEDICUS HEALTH PARTNERS,E01001521,32
F85002,MEDICUS HEALTH PARTNERS,E01001522,18
F85002,MEDICUS HEALTH PARTNERS,E01001523,44
F85002,MEDICUS HEALTH PARTNERS,E01001524,36
F85002,MEDICUS HEALTH PARTNERS,E01001525,36
F85002,MEDICUS HEALTH PARTNERS,E01001526,22
F85002,MEDICUS HEALTH PARTNERS,E01001527,38
F85002,MEDICUS HEALTH PARTNERS,E01001528,32
F85002,MEDICUS HEALTH PARTNERS,E01001529,11
F85002,MEDICUS HEALTH PARTNERS,E01001530,25
F85002,MEDICUS HEALTH PARTNERS,E01001531,41
F85002,MEDICUS HEALTH PARTNERS,E01001532,44
F85002,MEDICUS HEALTH PARTNERS,E01001533,40
F85002,MEDICUS HEALTH PARTNERS,E01001534,12
F85002,MEDICUS HEALTH PARTNERS,E01001535,14
F85002,MEDICUS HEALTH PARTNERS,E01001536,414
F85002,MEDICUS HEALTH PARTNERS,E01001537,1210
F85002,MEDICUS HEALTH PARTNERS,E01001538,1152
F85002,MEDICUS HEALTH PARTNERS,E01001539,1112
F85002,MEDICUS HEALTH PARTNERS,E01001540,381
F85002,MEDICUS HEALTH PARTNERS,E01001541,355
F85002,MEDICUS HEALTH PARTNERS,E01001542,604
F85002,MEDICUS HEALTH PARTNERS,E01001543,1080
F85002,MEDICUS HEALTH PARTNERS,E01001544,939
F85002,MEDICUS HEALTH PARTNERS,E01001545,1367
F85002,MEDICUS HEALTH PARTNERS,E01001546,1457
F85002,MEDICUS HEALTH PARTNERS,E01001547,1140
F85002,MEDICUS HEALTH PARTNERS,E01001548,1251
F85002,MEDICUS HEALTH PARTNERS,E01001549,1518
F85002,MEDICUS HEALTH PARTNERS,E01001550,1337
F85002,MEDICUS HEALTH PARTNERS,E01001551,1008
F85002,MEDICUS HEALTH PARTNERS,E01001552,1108
F85002,MEDICUS HEALTH PARTNERS,E01001553,37
F85002,MEDICUS HEALTH PARTNERS,E01001554,29
F85002,MEDICUS HEALTH PARTNERS,E01001555,47
F85002,MEDICUS HEALTH PARTNERS,E01001556,95
F85002,MEDICUS HEALTH PARTNERS,E01001557,23
F85002,MEDICUS HEALTH PARTNERS,E01001558,57
F85002,MEDICUS HEALTH PARTNERS,E01001559,183
F85002,MEDICUS HEALTH PARTNERS,E01001560,81
F85002,MEDICUS HEALTH PARTNERS,E01001562,77
F85002,MEDICUS HEALTH PARTNERS,E01001563,43
F85002,MEDICUS HEALTH PARTNERS,E01001564,19
F85002,MEDICUS HEALTH PARTNERS,E01001565,63
F85002,MEDICUS HEALTH PARTNERS,E01001566,29
F85002,MEDICUS HEALTH PARTNERS,E01001567,33
